,Latitude,Longitude,name
28487,42.019110999999995,-93.525735,Loc Clust 4
42231,40.894717,-97.212614,Loc Clust 6
41009,42.106789,-93.615572,Loc Clust 4
67337,41.043079999999996,-94.31067,Loc Clust 4
31791,40.276832,-97.108796,Loc Clust 6
56834,43.879459999999995,-88.83789,Loc Clust 3
43969,41.99446,-95.0151,Loc Clust 4
32891,42.085296,-93.444612,Loc Clust 4
43670,40.305394,-85.901297,Loc Clust 5
76215,42.280688,-85.09723100000001,Loc Clust 5
9697,41.442467,-84.0677,Loc Clust 5
16510,41.276140000000005,-91.6642,Loc Clust 1
79640,41.814594,-96.159295,Loc Clust 6
59529,40.6991,-86.90100000000001,Loc Clust 5
55588,41.366868,-91.986701,Loc Clust 1
37370,40.5917,-84.4557,Loc Clust 5
10372,40.699312,-86.894717,Loc Clust 5
39979,40.552995,-89.444711,Loc Clust 3
58627,42.28965,-91.09101,Loc Clust 1
26644,42.080081,-93.435161,Loc Clust 4
15564,43.087798,-81.211146,Loc Clust 0
24118,42.03926,-95.0145,Loc Clust 4
14,42.016877,-93.526748,Loc Clust 4
50499,40.22232,-88.87127,Loc Clust 3
44589,40.699040000000004,-86.90101999999999,Loc Clust 5
49424,40.305394,-85.901297,Loc Clust 5
48598,40.6991,-86.90100000000001,Loc Clust 5
65996,40.54852,-89.48538,Loc Clust 3
6076,40.833397,-97.349289,Loc Clust 6
16379,44.793509,-94.86999300000001,Loc Clust 2
67060,41.043079999999996,-94.31067,Loc Clust 4
64746,40.4007,-90.52529,Loc Clust 1
16806,42.525859000000004,-82.36107700000001,Loc Clust 0
46285,44.049424,-93.282073,Loc Clust 7
12103,38.920084,-91.818873,Loc Clust 1
1907,44.092119,-93.298375,Loc Clust 7
7877,40.6,-86.9,Loc Clust 5
13264,40.948128000000004,-91.3503,Loc Clust 1
13413,39.660871,-89.826297,Loc Clust 3
22111,40.214521999999995,-88.913641,Loc Clust 3
6570,43.318381,-96.566755,Loc Clust 2
24856,43.00983,-95.1866,Loc Clust 2
60663,41.4838,-88.914244,Loc Clust 3
5937,41.276140000000005,-91.6642,Loc Clust 1
34718,40.765361999999996,-87.79277900000001,Loc Clust 3
41369,39.696402,-89.965221,Loc Clust 3
10591,43.087798,-81.211146,Loc Clust 0
60972,40.40365,-87.50985,Loc Clust 3
49112,39.64377,-89.7574,Loc Clust 3
23495,43.00983,-95.1866,Loc Clust 2
164,40.69907,-86.900038,Loc Clust 5
26913,40.225225,-83.843778,Loc Clust 5
28180,40.127641,-88.08603000000001,Loc Clust 3
21363,43.2794,-81.2543,Loc Clust 0
68728,42.640467,-93.793986,Loc Clust 4
29919,41.182140000000004,-91.40684,Loc Clust 1
80972,40.22524,-83.844521,Loc Clust 5
66093,40.97258,-91.3682,Loc Clust 1
28056,42.29600000000001,-91.13064,Loc Clust 1
21399,41.182140000000004,-91.40684,Loc Clust 1
38307,41.067612,-84.821186,Loc Clust 5
14775,41.781502,-96.210362,Loc Clust 6
39881,42.521471999999996,-82.354209,Loc Clust 0
12133,39.660871,-89.826297,Loc Clust 3
41796,40.6991,-86.90100000000001,Loc Clust 5
36079,42.9303,-80.90423299999999,Loc Clust 0
50442,40.305394,-85.901297,Loc Clust 5
29613,41.509055,-92.255122,Loc Clust 1
7962,43.318381,-96.566755,Loc Clust 2
69555,40.90013,-97.159213,Loc Clust 6
40321,44.0518,-93.295865,Loc Clust 7
20232,41.812433,-96.15390699999999,Loc Clust 6
63996,44.08889,-93.298957,Loc Clust 7
58860,41.50887,-92.23915,Loc Clust 1
15058,42.04027,-95.01427,Loc Clust 4
18705,42.016877,-93.526748,Loc Clust 4
33797,40.910222,-97.146979,Loc Clust 6
14420,42.96321,-95.17068,Loc Clust 2
24304,41.091035999999995,-84.924066,Loc Clust 5
23443,43.148393,-93.107591,Loc Clust 7
18905,42.530570000000004,-88.86076,Loc Clust 3
30336,43.149997,-93.10207,Loc Clust 7
42839,41.909209999999995,-96.97973,Loc Clust 6
60495,41.508875,-90.239154,Loc Clust 1
78311,39.15377,-87.87904,Loc Clust 3
79708,41.516746000000005,-89.036517,Loc Clust 3
54464,41.4838,-88.914244,Loc Clust 3
49158,40.6991,-86.90100000000001,Loc Clust 5
42868,41.99446,-95.0151,Loc Clust 4
77342,42.563046,-82.257714,Loc Clust 0
74634,39.6997,-89.97504,Loc Clust 3
8220,41.03583,-83.7509,Loc Clust 5
57426,43.078463,-81.203113,Loc Clust 0
24821,43.318042,-96.5668,Loc Clust 2
76988,42.93865,-95.16046999999999,Loc Clust 2
33257,42.95082,-94.0301,Loc Clust 7
20300,41.182140000000004,-91.40684,Loc Clust 1
41346,39.696402,-89.965221,Loc Clust 3
34543,42.080475,-85.140966,Loc Clust 5
77133,40.0632,-84.3067,Loc Clust 5
22291,40.214521999999995,-88.913641,Loc Clust 3
45144,41.909209999999995,-96.97973,Loc Clust 6
72776,42.9303,-80.90423299999999,Loc Clust 0
43979,41.123540000000006,-84.91221,Loc Clust 5
16708,41.276140000000005,-91.6642,Loc Clust 1
45856,44.826536,-94.863978,Loc Clust 2
48198,40.955740000000006,-89.13944000000001,Loc Clust 3
213,44.078129,-93.300034,Loc Clust 7
22154,40.276832,-97.108796,Loc Clust 6
63869,44.08889,-93.298957,Loc Clust 7
38122,41.182140000000004,-91.40684,Loc Clust 1
28573,42.98773,-93.91291600000001,Loc Clust 7
51517,40.305394,-85.901297,Loc Clust 5
13455,40.121332,-88.089015,Loc Clust 3
44553,40.22232,-88.87127,Loc Clust 3
27773,40.955738000000004,-89.139444,Loc Clust 3
52824,41.812433,-96.15390699999999,Loc Clust 6
61394,40.894690000000004,-97.21216,Loc Clust 6
53731,42.665279999999996,-88.96118,Loc Clust 3
78698,43.162673,-93.103201,Loc Clust 7
38476,41.597311,-90.653509,Loc Clust 1
10114,40.95066,-89.13932,Loc Clust 3
35564,43.162224,-84.793941,Loc Clust 5
55203,44.049424,-93.282073,Loc Clust 7
19131,41.088644,-84.92394499999999,Loc Clust 5
43675,40.699040000000004,-86.90101999999999,Loc Clust 5
44563,40.22421,-88.92654,Loc Clust 3
77382,41.99446,-95.0151,Loc Clust 4
1096,42.95074,-94.039738,Loc Clust 7
39872,42.521471999999996,-82.354209,Loc Clust 0
26925,40.127641,-88.08603000000001,Loc Clust 3
15642,42.661809999999996,-88.93597,Loc Clust 3
28489,41.182140000000004,-91.40684,Loc Clust 1
44141,40.305394,-85.901297,Loc Clust 5
7572,41.084917,-84.923797,Loc Clust 5
67845,40.648019,-96.062309,Loc Clust 6
50154,39.9643,-83.9734,Loc Clust 5
27880,42.71175,-92.99981,Loc Clust 7
48016,40.314471999999995,-85.749262,Loc Clust 5
22482,40.87095,-91.29524,Loc Clust 1
79619,40.965090000000004,-87.79266,Loc Clust 3
15826,40.95066,-89.13932,Loc Clust 3
47712,40.314471999999995,-85.749262,Loc Clust 5
40231,40.121187,-88.091608,Loc Clust 3
25183,43.758,-95.235536,Loc Clust 2
5505,40.127641,-88.08603000000001,Loc Clust 3
19004,41.276140000000005,-91.6642,Loc Clust 1
57234,42.813179999999996,-92.04298,Loc Clust 1
55173,42.133195,-93.654256,Loc Clust 4
8775,39.613471999999994,-88.19603000000001,Loc Clust 3
69461,41.813272,-96.155803,Loc Clust 6
5006,44.078129,-93.300034,Loc Clust 7
73768,41.508,-92.2591,Loc Clust 1
3079,42.22579,-91.203233,Loc Clust 1
69057,42.74053,-92.07531999999999,Loc Clust 1
26600,41.442993,-84.070301,Loc Clust 5
26959,41.182140000000004,-91.40684,Loc Clust 1
